Author Name,Author Affiliation,Country,Article No.,h-index
Delene Weber,The University of South Australia,Australia,17,20
Matin Kor,The University of South Australia,Australia,17,
Florence Mei Kuen Tang,The Chinese University of Hong Kong,Hong Kong,18,
Ray Mau Fung Lee,The Chinese University of Hong Kong,Hong Kong,18,
Roy Hok Lai Szeto,The Chinese University of Hong Kong,Hong Kong,18,
Jason Ka Kit Cheng,The Chinese University of Hong Kong,Hong Kong,18,
Frederic Wai To Choi,The Chinese University of Hong Kong,Hong Kong,18,
Justin Chak Ting Cheung,The Chinese University of Hong Kong,Hong Kong,18,
Olivia Miu Yung Ngan,The Chinese University of Hong Kong,Hong Kong,18,
Ann Sin Nga Lau,The Chinese University of Hong Kong,Hong Kong,18,
María Graciela Badilla-Quintana,Universidad Católica de la Santísima Concepción,Chile,19,
Eileen Sepulveda-Valenzuela,University of Bristol,Bristol,19,5
Margarita Salazar Arias,Universidad Católica de la Santísima Concepción,Chile,19,
Gerardo Gómez-García,University of Granada,Spain ,20,14
Francisco-Javier Hinojo-Lucena,University of Granada,Spain ,20,31
Santiago Alonso-García,University of Granada,Spain ,20,
José-María Romero-Rodríguez,University of Granada,Spain ,20,
Maxime Ros,"LIRDEF, Montpellier university",France,21,5
Bruno Debien,"LIRDEF, Montpellier university",France,21,11
C. Cyteval,"LIRDEF, Montpellier university",France,21,
Nicolas Molinari,"LIRDEF, Montpellier university",France,21,63
N. Lonjon,"LIRDEF, Montpellier university",France,21,
F. Gatto,"LIRDEF, Montpellier university",France,21,
Paola Araiza-Alba,Swinburne University of Technology,Australia,22,5
Therese Keane,Swinburne University of Technology,Australia,22,12
Won Sun Chen,Swinburne University of Technology,Australia,22,15
Jordy Kaufman,Swinburne University of Technology,Australia,22,26
Prajakt Pande,Roskilde University,Denamrk,23,6
Amalie Thit,Roskilde University,Denamrk,23,13
Anja Elaine Sørensen,Roskilde University,Denamrk,23,11
Biljana Mojsoska,Roskilde University,Denamrk,23,12
Morten E. Moeller,Roskilde University,Denamrk,23,
Per Meyer Jepsen,Roskilde University,Denamrk,23,
Lisa Hasenbein,University of Tübingen,Germany,24,3
Philipp Stark,University of Tübingen,Germany,24,
Ulrich Trautwein,University of Tübingen,Germany,24,95
Anna Carolina Muller Queiroz,Stanford University,USA,24,
Jeremy Bailenson,Stanford University,USA,24,
"Jens-Uwe Hahn 
",Hochschule der Medien Stuttgart,Germany,24,
Richard Go ̈llner,University of Tübingen,Germany,24,
Guido Makransky,University of Copenhagen,Denamrk,25,31
Lau Lilleholt,University of Copenhagen,Denamrk,25,9
Ann L. Parkinson,University of the Sunshine Coast,Australia,26,
Mary Kynn,"University of Aberdeen,",United Kingdom,26,10
Nicole Reinke,University of the Sunshine Coast,Australia,26,7
,,,27,
Danny P. Goel,University of British Columbia,Canada,28,
Aaron J. Bois ,University of Calgary,Canada,28,
George S. Athwal,Western University,Canada,28,59
Ryan Lohre,University of British Columbia,Canada,28,7
Jiatian Yu,Nanjing Normal University,China,29,
Wayan Sintawati,Nanjing Normal University,China,29,2
Rustam Shadiev,Nanjing Normal University,China,29,32
Emilia Biffi,Scientific Institute IRCCS E,Italy,30,
Gianluigi Reni ,Scientific Institute IRCCS E,Italy,30,
Paola Negrini ,Scientific Institute IRCCS E,Italy,30,
Marisa Giorgetti,Scientific Institute IRCCS E,Italy,30,
Simona Travellini,Scientific Institute IRCCS E,Italy,30,
Maria Luisa Lorusso,Scientific Institute IRCCS E,Italy,30,33
Guillermo Cabrera-Guerrero,"Universidad Católica de Valparaíso, ",Chile,31,
Ruggiero Lovreglio,"Massey University,",New Zealand,31,
Rafael Sacks,Israel Institute of Technology,Israel ,31,
Jared Thomas,WSP Opus,New Zealand,31,
Michael Spearpoint,OFR Consultants,United Kingdom,31,32
Robert Amor,University of Auckland,New Zealand,31,31
Vicente A. González,University of Auckland,New Zealand,31,33
Zhenan Feng,University of Auckland,New Zealand,31,8
Chad Gorbatkin,Madigan Army Medical Center,USA,32,
Jason Bothwell,Madigan Army Medical Center,USA,32,
Matthew T. Esposito,San Antonio Military Medical Center,USA,32,
Zachary Sletten,San Antonio Military Medical Center,USA,32,
Jillian F. Phelps,Madigan Army Medical Center,USA,32,
Kristin Fiala,Darnall Army Medical Center ,USA,32,
Robyn Essendrop,Madigan Army Medical Center,USA,32,
Carl Skinner,Madigan Army Medical Center,USA,32,
Christopher Kang,Madigan Army Medical Center,USA,32,
Ryan Walsh,Vanderbilt University Medical Center,USA,32,
Kyle Couperus,Madigan Army Medical Center,USA,32,
Scott E Young,Madigan Army Medical Center,USA,32,10
Guido Makransky,University of Copenhagen,Denmark ,33,
Aske Mottelson,University of Copenhagen,Denmark ,33,
Gert Dandanell,University of Copenhagen,Denmark ,33,
Maria L. M. Jørgensen,University of Copenhagen,Denmark ,33,
"Liisalotte Elme,",University of Copenhagen,Denmark ,33,
Tsun-Hung Tsai,Shih Chien University,Taiwan,34,
Hung Sun,Chung Hua University,Taiwan,34,
Li-Hsing Ho,Chung Hua University,Taiwan,34,
Juan Ramón Portela Miguelez,University of Cádiz,Spain,35,
Jezabel Sánchez-Oneto,University of Cádiz,Spain,35,
Ignacio de Ory,University of Cádiz,Spain,35,
Ildefonso Caro Pina,University of Cádiz,Spain,35,
Casimiro Mantell,University of Cádiz,Spain,35,
Manuel J. Díaz Villanueva,University of Cádiz,Spain,35,
Simone Schnall ,University of Cambridge,United Kingdom,36,
Ruth Weaver ,Plymouth University,United Kingdom,36,
Craig Hedge ,Cardiff University,United Kingdom,36,15
"Stachoň, Zdenek",Masaryk University,Czech Republic,37,
"Švedová, Hana",Masaryk University,Czech Republic,37,
"Káčová, Natalie",Masaryk University,Czech Republic,37,
"Chmelík, Jiri",Masaryk University,Czech Republic,37,
"Brůža, Vojtech",Masaryk University,Czech Republic,37,
"Kvarda, Ondrej",Masaryk University,Czech Republic,37,
"Ugwitz, Pavel",Masaryk University,Czech Republic,37,
"Šašinková, Alzbeta",Masaryk University,Czech Republic,37,
"Fořtová, Nicola Catherine",Masaryk University,Czech Republic,37,
"Šašinka, Čenek",Masaryk University,Czech Republic,37,
Michal Cerny,Masaryk University,Czech Republic,37,
Katerina Jochecova,Masaryk University,Czech Republic,37,
Elliot Hu‐Au,"Teachers College, Columbia University",USA,38,
Sandra Okita,"Teachers College, Columbia University",USA,38,19
Sonia Moreno-Perez,Universidad Europea de Madrid,Spain ,39,
Sara Redondo-Duarte,Universidad Europea de Madrid,Spain ,39,
Maria Dolores Vivas-Urias,Universidad Europea de Madrid,Spain ,39,
Eva Jimenez,Universidad Europea de Madrid,Spain ,39,
Gonzalo Mariscal,Universidad Europea de Madrid,Spain ,39,
Janvom Brocke,University of Liechtenstein,Liechtenstein,40,
Tim A.Majchrzak,University of Agder,Norway,40,
Stefan Stieglitz,University of Duisburg-Essen,Germany,40,
Charlotte Wehking,University of Liechtenstein,Liechtenstein,40,
Jaziar Radianti,University of Agder,Norway,40,
Jennifer Fromm,University of Duisburg-Essen,Germany,40,
Marc Erich Latoschik,University of Würzburg,Germany,41,31
Silke Grafe,University of Würzburg,Germany,41,
Adam Ibrahim,University of Montreal,Canada,42,5
Brandon Huynh,"University of California, Santa Barbara",USA,42,5
Jonathan Downey,"University of California, Santa Barbara",USA,42,
Tobias Höllerer,"University of California, Santa Barbara",USA,42,
Dorothy Chun,"University of California, Santa Barbara",USA,42,
John O'donovan,"University of California, Santa Barbara",USA,42,
Zhe Liu,Henan Economy and Trade Vocational College,China,43,
Walid M. Khalilia,Al-Istiqlal University,Palestine,44,5
Miroslav Gombár,University of Presov,Slovakia,44,14
Zuzana Palková,Slovak University of Agriculture in Nitra,Czech Republic,44,10
Michal Palko,Slovak University of Agriculture in Nitra,Slovakia,44,
Jan Valiček,Slovak University of Agriculture in Nitra,Czech Republic,44,
Marta Harničárová,Slovak University of Agriculture in Nitra,Czech Republic,44,
Nadezhda MaksimenkoNadezhda Maksimenko,"ITMO University
",Russia,45,
Anzhelika Okolzina,"ITMO University
",Russia,45,
Anna Vlasova,"ITMO University
",Russia,45,
Chantal Tracey,"ITMO University
",Russia,45,4
Mikhail Kurushkin,"ITMO University
",Russia,45,
Shuxia YangShuxia Yang,Henan University ,China,46,
Bing Mei,Henan University ,China,46,
Xiaoyu Yue,University of Aukland,New Zealand,46,10
Kuo-Liang,National Tsing Hua University,Taiwan,47,
Yao-Hui Liu,National Tsing Hua University,Taiwan,47,
Wernhuar Tarng,National Tsing Hua University,Taiwan,47,
Martin Krajčovič,University of Žilina,Slovakia,48,18
Gabriela Gabajová,University of Žilina,Slovakia,48,6
Marián Matys,University of Žilina,Slovakia,48,
Beáta Furmannová,University of Žilina,Slovakia,48,
Ľuboslav Dulina,University of Žilina,Slovakia,48,
Lia Ma,East China Jiaotong University,China,49,
Laura E. Reevesa,Solent University Southhampton,United Kingdom,50,
Edward Boltonb,Solent University Southhampton,United Kingdom,50,
Matthew Bulpitta,Solent University Southhampton,United Kingdom,50,
Alex Scotta,Solent University Southhampton,United Kingdom,50,
Ian Tomeyc,Solent University Southhampton,United Kingdom,50,
Micah Gatesc,Solent University Southhampton,United Kingdom,50,
Robert A. Baldockd*,Solent University Southhampton,United Kingdom,50,
Michelle O'Connor,University College Dublin,Ireland,51,
John Stowe,University College Dublin,Ireland,51,
Jaka Potocnik,University College Dublin,Ireland,51,
Nicola Giannotti,University College Dublin,Ireland,51,5
Shauna Murphy,University College Dublin,Ireland,51,
Louise Rainford,University College Dublin,Ireland,51,
Qianli Xiong,Shanghai University of Sport,China,52,
Wazid Michalak,International Ataturk Alatoo University,Kyrgyzstan,52,
Sunita Ariali ,University of Stuttgart,Germany,53,
Bernd Zinn ,University of Stuttgart,Germany,53,14
Mian Usman Sattar,Malaysia University of Science and Technology,Malaysia,54,6
Sellappan Palaniappan,Malaysia University of Science and Technology,Malaysia,54,24
Asiah Lokman,Malaysia University of Science and Technology,Malaysia,54,
Atif Hassan,University of Management and Technology,Pakistan,54,
Nauman Shah,University of Management and Technology,Pakistan,54,
Zurabia Riaz,University of Management and Technology,Pakistan,54,
Youyang Xin,Huanghuai University ,China,55,
Sinem Aslan,Intel Corporation,USA,56,18
Ankur Agrawal,Unity Technologies ,USA,56,5
Nese Alyuz,Intel Corporation,USA,56,18
Rebecca Chierichetti,Intel Corporation,USA,56,
Lenitra M. Durham,Intel Corporation,USA,56,
Ramesh Manuvinakurike,Intel Corporation,USA,56,
Eda Okur,Intel Corporation,USA,56,
Saurav Sahay,Intel Corporation,USA,56,
Sangita Sharma,Intel Corporation,USA,56,
John Sherry,Intel Corporation,USA,56,
Giuseppe Raffa,Intel Corporation,USA,56,
Lama Nachman,Intel Corporation,USA,56,
James D. Pickering,University of Leeds ,United Kingdom,57,18
Antoniou Panagiotis,Aristotle University of Thessaloniki,Greece,57,
Georgios Ntakakis,Aristotle University of Thessaloniki,Greece,57,
Alkinoos Athanassiou,Aristotle University of Thessaloniki,Greece,57,
Emmanouil Babatsikos,Aristotle University of Thessaloniki,Greece,57,
Panagiotis D. Bamidis,Aristotle University of Thessaloniki,Greece,57,
Emilia Biffi,"Scientific Institute, IRCCS Eugenio Medea",Italy,58,19
Chiara Gagliardi,"Scientific Institute, IRCCS Eugenio Medea",Italy,58,
Cristina Maghini,"Scientific Institute, IRCCS Eugenio Medea",Italy,58,
Chiara Genova,"Scientific Institute, IRCCS Eugenio Medea",Italy,58,
Daniele Panzeri,"Scientific Institute, IRCCS Eugenio Medea",Italy,58,
Davide Felice Redaelli,"Scientific Institute, IRCCS Eugenio Medea",Italy,58,
Anna Carla Turconi,"Scientific Institute, IRCCS Eugenio Medea",Italy,58,
Kuo-Ting Huang,Ball State University,USA,59,13
Christopher Ball,Michigan State University ,USA,59,12
Jessica Francis,University of Rochester,USA,59,10
Rabindra Ratan,Michigan State University ,USA,59,26
Josephine Boumis,Michigan State University ,USA,59,
Joseph Fordham,Michigan State University ,USA,59,
Lei Chen,Xi’an Jiaotong-Liverpool University,China,60,
Hai-Ning Liang,Xi’an Jiaotong-Liverpool University,China,60,26
Feiyu Lu,Virginia Tech,USA,60,9
Jialin Wang,Xi’an Jiaotong-Liverpool University,China,60,
Wenjun Chen,Zhejiang University,China,60,3
Yong Yue,Xi’an Jiaotong-Liverpool University,China,60,27
Nisha Agasthya,Kansas University School of Medicine,USA,61,2
Scott Penfil,Herman and Walter Samuelson Children’s Hospital at Sinai,USA,61,
Nicholas Slamon,Nemours/Alfred I. duPont Hospital for Children,USA,61,
Min Zhang,Beihua University ,China,62,
Yu Xie,Jiangnan University,China,63,
Yang Liu,University College London,United Kingdom,63,
Fengrui Zhang,University of Cambridge,United Kingdom,63,
Ping Zhou,Hunan University of Humanities,China,63,
Mian Usman Sattar,Beaconhouse National University,Pakistan,64,6
Sellappan Palaniappan,Malaysia University of Science and Technology,Malaysia,64,24
Asiah Lokman,Malaysia University of Science and Technology,Malaysia,64,
Nauman Shah,University of Management and Technology,Pakistan,64,
Usman Khalid,University of Management and Technology,Pakistan,64,
Raza Hasan,Malaysia University of Science and Technology,Malaysia,64,
Chen-Wei Chang,Fudan University ,China,65,7
Shih-Ching Yeh,Fudan University ,China,65,27
Mengtong Li,Fudan University ,China,65,4
Eason Yao,Iforeal Intelligent Technology,China,65,
Inmaculada Remolar,Universitat Jaume I,Spain,66,11
Cristina Rebollo,Universitat Jaume I,Spain,66,
Jon A. Fernández-Moyano,Universitat Jaume I,Spain,66,
Maÿlis Merveilleux Du Vignaux ,HEC Montréal,Canada,67,
Pierre-Majorique Léger ,HEC Montréal,Canada,67,32
Youness Salame,HEC Montréal,Canada,67,
Sylvain Sénécal ,HEC Montréal,Canada,67,
Patrick Charland ,Université du Québec,Canada,67,14
Emmanuel Durand,Society for Arts and Technology,Canada,67,
Nicolas Bouillot ,Society for Arts and Technology,Canada,67,
Mylène Pardoen ,CNRS,France,67,
Rubina Dutta,Chitkara University,India,68,4
Archana Mantri,Chitkara University,India,68,17
Gurjinder Singh,Chitkara University,India,68,6
Martin Peter Strzys,Technische Universität Kaiserslautern,Germany,69,
Sebastian Kapp,University of Kaiserslautern,Germany,69,9
Michael Thees,Technische Universität Kaiserslautern,Germany,69,
Pascal Klein,Georg-August-University Göttingen,Germany,69,17
Paul Lukowicz,"DFKI, Embedded Intelligence Laboratory",Germany,69,
Pascal Knierim,"LMU Munchen, Institut fur Informatik",Germany,69,
Albrecht Schmidt,"LMU Munchen, Institut fur Informatik",Germany,69,
Jochen Kuhn,Technische Universität Kaiserslautern,Germany,69,
Alexia Larchen Costuchen,Universitat Politècnica de València (UPV) and Universitat de València (UV),,70,2
Stephen Darling,Queen Margaret University,United Kingdom,70,25
Clare Uytman,Queen Margaret University,United Kingdom,70,
Hugh McFaul,Open University,United Kingdom,71,4
Elizabeth FitzGerald (née Brown),Open University,United Kingdom,71,21
Xiuhua Ye,Jiaying University,China,72,
Xiaotao Wang,Shangqiu Normal University,China,73,
Andrea J. De Micheli,University Children's Hospital Zürich,Switzerland,74,6
Thomas Valentin,Centre Suisse d'Electronique et de Microtechnique ,Switzerland,74,14
Fabio Grillo,ETH Zürich ,Switzerland,74,13
Manu Kapur,ETH Zürich ,Switzerland,74,
Simone Schuerle,ETH Zürich ,Switzerland,74,
Cristian Merino,Pontificia Universidad Católica de Valparaíso,Chile ,75,
Catalina Iturbe-Sarunic,Universidad Austral de Chile,Chile ,75,1
Brant G. Miller,University of Idaho,USA,75,12
Christine E. Parent,University of Idaho,USA,75,
John G. Phillips,University of Idaho,USA,75,
Sonia Pino,Pontificia Universidad Católica de Valparaíso,Chile ,75,
José Miguel Garrido,Pontificia Universidad Católica de Valparaíso,Chile ,75,
Andoni Arenas,Pontificia Universidad Católica de Valparaíso,Chile ,75,
Juan Zamora,Pontificia Universidad Católica de Valparaíso,Chile ,75,
Chen-Wei Chang,Fudan University ,China,76,7
Jun Heo,Louisiana State University ,USA,76,
"Yeh, (Luke) Shih-Ching",National Central University,Taiwan,76,27
Hui-Ya Han,University of West Florida,USA,76,
Li Mengtong,University of Illinois at Urbana-Champaign,USA,76,4
Sanika Doolani,University of Texas at Arlington,USA,77,6
Luke Owens,University of Texas at Arlington,USA,77,
Callen Wessels,University of Texas at Arlington,USA,77,
Fillia Makedon ,University of Texas at Arlington,USA,77,
Christian Moro,Bond University,Australia,78,17
Zane Stromberga,Bond University,Australia,78,12
Athanasios Raikos,Bond University,Australia,78,
Allan Stirling,Bond University,Australia,78,
Christos Kyrlitsias,Cyprus University of Technology,Cyprus,79,5
Maria Christofi,Cyprus University of Technology,Cyprus,79,8
Despina Michael-Grigoriou,Cyprus University of Technology,Cyprus,79,15
Domna Banakou,New York University Abu Dhabi,United Arab Emirates,79,
Andri Ioannou ,Cyprus University of Technology,Cyprus,79,
Simon Bennie,Nanome,United Kingdom,80,14
Kara E. Ranaghan,University of Bristol,United Kingdom,80,
Helen Deeks,University of Bristol,United Kingdom,80,
Heather E. Goldsmith,University of Bristol,United Kingdom,80,
Michael B. O’Connor,University of Bristol,United Kingdom,80,
Adrian J. Mulholland,University of Bristol,United Kingdom,80,
David R. Glowacki,University of Bristol,United Kingdom,80,
Rebecca M. Broyer,University of Southern California,USA,81,
Kenny Miller,Boise State University ,USA,81,
Shalini Ramachandran,Chapman University,USA,81,2
Sheree Fu,California State University Los Angeles,USA,81,
Karen Howell,University of Southern California,USA,81,
Steven Cutchin,Boise State University ,USA,81,
