Article No.,Title,Year,Author Number,Key Words,Citation,Source,Abstract,Type
11,Higher Immersive Profiles Improve Learning Outcomes in Augmented Reality Learning Environments,2022,4,augmented reality; immersion; interactive learning environments; applications in subject areas,1,INFORMATION,Augmented reality (AR)-based learning environments are argued to foster cognitive and emotional involvement. Immersion has been identified as one of the driving forces that promote learning in technology-based learning environments. This study evaluated the learning effectiveness and immersion appeal of an AR-marker-based learning activity targeted at practicing basic chemistry concepts. Data were collected from a cohort of 124 middle school students in Mexico and analyzed using pretest-posttest comparisons and cluster analysis. The results suggest that students with higher immersive learning profiles achieve better learning outcomes compared with those with lower immersive profiles.,Journal
12,Application of Immersive Virtual Reality Interactive Technology in Art Design Teaching,2022,1,,0,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,"With the rapid development of economy and society, the integration of disciplines has become a key object faced by the whole society. The new characteristics of rapidly iterative technology and evolving theory of the digital age brought new challenges, especially for art and design teaching. At the same time, with the continuous progress of computer hardware level, all kinds of simulation technology constantly emerge, which also brought new opportunities for art design work. Art design teaching, as a systematic project, should use advanced teaching techniques with scientific theories. In the process of teaching design, how are all parts connected with each other, and what are the problems and needs of students and teachers? Through the analysis and research of these, we are aimed at finding ways and methods to solve these problems and needs, and to achieve the optimal teaching effect. The mode, technology, and methods of traditional art design teaching are getting more and more difficult to meet the needs of the society for comprehensive design art talents. Based on virtual reality technology and aimed at the art design teaching system, this paper studies the application of the immersive virtual reality technology in the design teaching practice. On the basis of the traditional design teaching mode, the integrated three-dimensional design teaching mode is put forward and verified. It can inspire students' creative inspiration in design teaching and guide them to immerse in learning and three-dimensional practice, constantly opening up creative thinking.",Journal
13,The use of immersive 360 degrees videos for foreign language learning: a study on usage and efficacy among high-school students,2021,6," Immersive 360° videos, second language learning, virtual reality, embodied cognition, mobile-assisted language learning, acceptance",13,INTERACTIVE LEARNING ENVIRONMENTS,"The large-scale diffusion of tablets and smartphones in the last decades offered new opportunities to broaden educational strategies. In particular, the Mobile-Assisted Language Learning (MALL) emerged as a promising approach leveraging the widespread availability of portable devices. In this study we investigated the feasibility and efficacy of a self-administered MALL homework training based on immersive 360 degrees videos, compared to a training based on not-immersive standard videos showing the same visual content and enriched by an auditory description of the environment. The knowledge of target words was assessed before and after the training. In addition, students' attitudes toward the technology were assessed before the training. Results indicated that students with a more positive attitude toward technology watched the videos more than those with a less positive attitude. Furthermore, students who underwent the training with 360 degrees videos learned more words than students belonging to the control group, even after controlling for the number of videos views.",Journal
14,Distance Learning of Foreign Languages through Virtual Reality,2022,6,"Distance learning, virtual reality technologies, immersive technologies, language environment",1,BRAIN-BROAD RESEARCH IN ARTIFICIAL INTELLIGENCE AND NEUROSCIENCE,"The article is devoted to virtual reality technologies and scenarios of their application in distance learning of foreign languages. A generalized experience of application of virtual reality technologies in distance learning of foreign languages is presented; the advantages, risks and deterrents of their introduction into the educational process in educational institutions are highlighted. The features by which technologies can be classified as virtual reality technologies are singled out. Examples of application of the following virtual reality technologies are considered: Mondly VR, VirtualSpeech, Immersive VR Education, AltspaceVR and ClassVR; their brief description, scenarios for use in learning foreign languages, benefits and risks of use are provided. Summarizing the review of these technologies, it was found that the educational content of distance learning of foreign languages through virtual reality can be divided into three groups: ""360-degree video"", platforms and sites, interactive programs. Conditions and didactic principles of the effective use of virtual reality technologies during distance learning of foreign languages are generalized. The issue of assessing effectiveness of virtual reality technologies in learning foreign languages is analyzed and identified as debatable and in need of further research. The criteria by which researchers summarize the principles of selection of evaluation criteria are clarified. Perspective directions of future scientific investigations are outlined: research of conditions of intensification and research of scenarios of use of collective intelligence during distance learning of foreign languages through virtual reality.",Journal
15,Immersive Virtual Reality Physical Education Instructional Patterns on the Foundation of Vision Sensor,2021,3,,4,JOURNAL OF SENSORS,"The creation of visual settings using avatar technology is the initial implementation of a voxel in the reporting context. This article is aimed at demonstrating the important role of a virtual reality immersive physical education model in current physical education and analyzing the immersive virtual reality physical education model. Relying on the mature VR virtual reality technology to establish a virtual simulation experiment platform, the application value in the education field is also reflected in the saving of experimental teaching costs. A complete set of VR teaching courseware also satisfies the functions of teaching training and assessment and is used repeatedly to maximize the value of utilization. This research mainly introduces the content of the optimization of the teaching method of the course combined with virtual reality technology. In order to make the data more convincing, reference literature and data in recent years have been referred to around immersive teaching. The first part is the discussion of immersive teaching, which includes the research of virtual immersive classroom teaching. The second part is a separate analysis of virtual reality technology. The third part is the practical exercise based on the first two parts; that is, from the learning effect and attitude of the student as the main body, the theoretical basis of the two parts on visual sensors and immersive virtual reality physical education teaching is transformed into real practice teaching. In the experiment part, in order to demonstrate the effectiveness and support of immersive virtual teaching, on the one hand, we started with the teaching of teachers, and on the other hand, we carried out investigations from the aspects of students' learning. The desktop virtual environment teaching method is compared with the existing classroom teaching methods. The image processing and image analysis of the virtual reality technology are combined with the image gray level of the three-dimensional image to analyze the multitask algorithm of the vision sensor. The feasibility of immersive virtual teaching was verified. Research data shows that the 10 students participating in the experiment gave a score of 7.9 for the target attitude of immersive virtual reality physical education. Students' interest in learning will increase, and efficiency will also be greatly improved. VR can not only provide students with a new learning experience but also be used to strengthen teachers' teaching skills. Because VR can simulate a real teaching environment, teachers can use this set of tools to try new course materials and improve classroom management capabilities.",Journal
16,Developing student codesigned immersive virtual reality simulations for teaching of challenging concepts in molecular and cellular biology,2022,11,"virtual reality, molecular biology, cellular biology, immersive learning, virology",0,FEMS MICROBIOLOGY LETTERS,"Molecular biology theory represents a critical scaffold, which underpins multiple disciplines within life sciences education. However, it is well-documented that undergraduate students can struggle to achieve deeper understanding of key concepts and/or their application. One challenging, contributory aspect is the ""invisible"" nature of molecular biology processes compounded by critical 3D spatial orientations of the principal components and their interactions. Molecular theory specifically requires students to construct accurate, mental spatial models to develop their understanding. However, much of the traditional teaching and examination of such theory is limited to 2D representations. Technology-enhanced, complementary teaching and examination approaches, which engage students with spatial aspects of theoretical concepts, offer an exciting opportunity to support student learning in this area. In this study, we have explored the integration of an immersive virtual reality simulation based on a challenging molecular biology concept within an existing module taught at University College Cork. A mixed methods approach, grounded in learning theory, was undertaken to assess the student user and learning experience. The consensus response from students was one of enhanced learning, understanding, engagement, and motivation. Student partnership in the process of simulation design and integration was key to delivering the fully integrated experience.Student partnered design and cocreation of virtual reality simulations for teaching and learning in the molecular and cellular biology curriculum.",Journal
17,Shaping Children's Knowledge and Response to Bushfire Through Use of an Immersive Virtual Learning Environment,2022,3,"Bushfire safety, children, immersive virtual environments, problem-based learning, knowledge transfer, self-efficacy beliefs, gender differences",1,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,"A problem-based immersive virtual environment (IVE) about bushfire safety was developed as a learning tool for children aged 10-12. Its effectiveness was assessed in relation to children's ability to determine how to be safer in a bushfire incident. A series of experiential activities were developed in the IVE with digital storytelling and two-stage embedded assessments providing children with an opportunity to engage with tasks and solve problems while receiving feedback on their performance. Changes from pre- to postsurvey results showed positive learning outcomes as evidenced by significant improvements in children's knowledge of bushfire safety and confidence in their ability to contribute to decisions during a bushfire incident. The significant change in children's knowledge as well as their performance at two-stage embedded assessments was independent of their gender, background knowledge and perceived ability in responding to bushfire hazards. This suggests that when appropriately designed and implemented within educational settings, immersive virtual learning tools can effectively engage children and enhance learning outcomes associated with bushfire safety. The paper also argues that such immersive problem-based learning can improve self-efficacy amongst children in relation to coping with a bushfire situation. Implications of the findings are also discussed.",Journal
18,A Simulation Design of Immersive Virtual Reality for Animal Handling Training to Biomedical Sciences Undergraduates,2021,8,"immersive virtual reality, 4R principles, simulation, animal handling, biomedical research, undergraduate, teaching and learning",2,FRONTIERS IN EDUCATION,"Background: One area of biomedical research concerns is applying new treatments to cure human diseases, moving bench-side research to the bedside practice. While using animal models is crucial in the research process, researchers should strictly adhere to the moral 4R framework to protect animal welfare-replacement, reduction, refinement, and responsibility. Virtual reality (VR) applies computer technology to create a simulated environment, allowing players to immerse and interact with animated 3D contexts. We developed a virtual animal-holding simulator (ViSi) using immersive virtual reality technology for students studying in the undergraduate biomedical sciences programme. The specific objectives of the paper are to 1) describe the development of the VR courseware for animal training and 2) describe the learning experience among students. Method and Result: An evaluation of the courseware was conducted among Year one and two biomedical sciences students. Students who participated in ViSi responded positively about their involvement in the virtual environment experience and their concentration on the assigned task. Discussion: ViSi is a reliable simulation technology that can train animal handling skills, which replaces real animals, while learners' multi-cognition could still be enhanced with simulation training. Thus, the impact of immersive VR technology integrated into skills training is promising, although few technical problems are to be resolved.",Journal
19,Augmented Reality as a Sustainable Technology to Improve Academic Achievement in Students with and without Special Educational Needs,2020,3,inclusive education; academic achievement; augmented reality; sustainable technologies; knowledge retention; chemistry learning,26,SUSTAINABILITY,"Virtual reality has impacted education, where progressively more educational institutions consider its inclusion. The research problem derives from the need to study the educational possibilities provided by integrating augmented reality into the curriculum, and its effect on academic achievement in a diverse class, specifically in the chemistry subject. This study examines 60 school-age participants with and without special educational needs, and addresses three overarching questions: (a) Would integrating augmented reality (AR) technology result in better academic achievement? (b) Would knowledge be retained longer by using AR? (c) Is there any relationship between academic achievement, acceptance and motivation regarding the use of this technology? Embracing the socio-constructivist theory of learning and collaborative and immersive learning as a framework, this study was carried out using a quantitative approach and a pre-experimental design. The AR VR Molecules Editor application was used in chemistry lessons. Main results showed significant immediate academic achievement and content retention. Despite classroom diversity, immersive technologies enhance students' learning regardless of whether they have special educational needs (SEN) or not. They also acknowledge that AR is a suitable sustainable technology that may foster social and cognitive justice and inclusive education, and train students that are equally prepared for the dynamic future.",Journal
20,Mobile Learning in Pre-Service Teacher Education: Perceived Usefulness of AR Technology in Primary Education,2021,4,mobile learning; augmented reality; teacher training; mobile devices; higher education,6,EDUCATION SCIENCES,"Mobile learning is a resource that can enhance the teaching-learning process of students and improve the training of future teachers. Specifically, augmented reality (AR) technology allows for immersive and experiential learning without the need to leave the classroom. The purposes of this paper were to apply AR technology in the training of future Primary Education teachers and to analyze the perceived usefulness of AR in the classroom by future teachers. A quantitative approach was used based on a design with a control group and two experimental groups with a post-test using a sample of 171 second-year students studying an education degree. The results showed that experimentation with AR promoted a slight increase in student motivation. However, no significant differences were found between the control group and the experimental groups. Finally, the findings allowed us to establish that the implementation of resources such as AR does not differ in the opinion of future teachers about the inclination to implement AR in the classroom.",Journal
21,Applying an immersive tutorial in virtual reality to learning a new technique,2020,6,"Virtual reality, Surgical training, Neurosurgery, Simulation training, Video-based learning, Experiential learning",13,NEUROCHIRURGIE,"Objective. - The medical world is continuously evolving, with techniques being created or improved almost daily. Immersive virtual reality (VR) is a technology that could be harnessed to develop tools that meet the educational challenges of this changing environment. We previously described the immersive tutorial, a 3D video (filmed from the first-person point of view), displayed on a VR application. This tool offers access to supplementary educational data in addition to the video. Here we attempt to assess improvement in learning a technique using this new educational format.Material and methods. - We selected a single neurosurgical technique for the study: external ventricular drainage. We wrote a technical note describing this procedure and produced the corresponding immersive tutorial. We conducted a prospective randomized comparative study with students. All participants read the technical note, and one group used the immersive tutorial as a teaching supplement. The students completed a multiple-choice questionnaire immediately after the training and again at six months.Results. - One hundred seventy-six fourth-year medical students participated in the study; 173 were included in assessing the immediate learning outcomes and 72 were included at the six-month follow-up. The VR group demonstrated significantly better short-term results than the control group (P = 0.01). The same trend was seen at six months.Conclusion. - To our knowledge, this study presents one of the largest cohorts for VR. The use of the immersive tutorial could enable a large number of healthcare professionals to be trained without the need for expensive equipment. (C) 2020 Elsevier Masson SAS. All rights reserved.",Journal
22,Immersive virtual reality as a tool to learn problem-solving skills,2021,4,"Virtual reality, 21st century abilities, Problem-solving skills, Elementary Education Games",60,COMPUTERS & EDUCATION,"Immersive virtual reality (IVR) technology has demonstrated positive educational outcomes related to its use and is gaining traction in educational and training settings; IVR is expected to have widespread adoption within the classroom in the upcoming years. However, the educational potential of IVR with children has not been thoroughly investigated, especially as a tool for problem-solving skills. Therefore, this study was designed to answer the following questions: (1) Is IVR a useful tool to learn and practice problem-solving skills? More specifically, do children using IVR solve a game better than those using a tablet application or a board game? (2) Does IVR provide a more engaging experience for children to practice problem-solving skills than on a tablet or a board game? (3) Do problem-solving skills learned with IVR technology transfer to real-life (physical game)? Children (n = 120) aged 7-9.9 years were randomly assigned to a problem-solving game in one of three conditions: board game, tablet, or IVR. The results showed that, overall, the percentage of children who completed the problem-solving game was higher in the IVR condition (77.5%), compared with those in the tablet (32.5%) or board game (30%) conditions. We also found that the interest and enjoyment scores of participants using IVR were significantly higher than participants in the other two conditions, and that the children in the IVR condition were able to learn how to solve the problem and transfer their learning to the physical game. IVR is a technology capable of engaging interest and motivating the user, as well as having the potential to assist in cognitive processing and knowledge transfer.",Journal
23,Long-term effectiveness of immersive VR simulations in undergraduate science learning: lessons from a media-comparison study,2021,6,virtual reality; longitudinal; science education; higher education; edu- cational technology,11,RESEARCH IN LEARNING TECHNOLOGY,"Our main goal was to investigate if and how using multiple immersive virtual reality (iVR) simulations and their video playback, in a science course, affects student learning over time. We conducted a longitudinal study, in ecological settings, at an undergraduate field-course on three topics in environmental biology. Twenty-eight undergraduates were randomly assigned to either an iVR-interaction group or a video-viewing group. During the field-course, the iVR group interacted with a head-mounted device-based iVR simulation related to each topic (i.e. total three interventions), while the video group watched a pre-recorded video of the respective simulation on a laptop. Cognitive and affective data were collected through the following checkpoints: a pre-test before the first intervention, one topic-specific post-test immediately after each intervention, a final post-test towards the end of the course, and a longitudinal post-test deployed approximately 2 months after the course. Through a descriptive analysis, it was found that student performance on the knowledge tests increased considerably over time for the iVR group but remained unchanged for the video group. While no within- or between-group differences were noted for intrinsic motivation and self-efficacy measures, students in the iVR group enjoyed all the simulations, and perceived themselves to benefit from those simulations.",Journal
24,Learning with simulated virtual classmates: Effects of social-related configurations on students' visual attention and learning experiences in an immersive virtual reality classroom,2022,,"Immersive virtual reality Classroom simulation Peer effects
Visual attention Network analysis Eye-tracking",3,COMPUTERS IN HUMAN BEHAVIOR,"Immersive virtual reality (IVR) provides great potential to experimentally investigate effects of peers on student learning in class and to strategically deploy virtual peer learners to improve learning. The present study examined how three social-related classroom configurations (i.e., students' position in the classroom, visuali-zation style of virtual avatars, and virtual classmates' performance-related behavior) affect students' visual attention toward information presented in the IVR classroom using a large-scale eye-tracking data set of N = 274 sixth graders. ANOVA results showed that the IVR configurations were systematically associated with differences in learners' visual attention on classmates or the instructional content and their overall gaze distribution in the IVR classroom (Cohen's d ranging from 0.28 to 2.04 for different IVR configurations and gaze features). Gaze-based attention on classmates was negatively related to students' interest in the IVR lesson (d = 0.28); specif-ically, the more boys were among the observed peers, the lower students' situational self-concept (d = 0.24). In turn, gaze-based attention on the instructional content was positively related to students' performance after the IVR lesson (d = 0.26). Implications for the future use of IVR classrooms in educational research and practice are discussed.",Journal
25,A structural equation modeling investigation of the emotional value of immersive virtual reality in education,2018,2,Virtual reality · Emotions · Simulations · Presence · CVTAE · Structural equation modeling,310,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,"Virtual reality (VR) is projected to play an important role in education by increasing student engagement and motivation. However, little is known about the impact and utility of immersive VR for administering e-learning tools, or the underlying mechanisms that impact learners' emotional processes while learning. This paper explores whether differences exist with regard to using either immersive or desktop VR to administer a virtual science learning simulation. We also investigate how the level of immersion impacts perceived learning outcomes using structural equation modeling. The sample consisted of 104 university students (39 females). Significantly higher scores were obtained on 11 of the 13 variables investigated using the immersive VR version of the simulation, with the largest differences occurring with regard to presence and motivation. Furthermore, we identified a model with two general paths by which immersion in VR impacts perceived learning outcomes. Specifically, we discovered an affective path in which immersion predicted presence and positive emotions, and a cognitive path in which immersion fostered a positive cognitive value of the task in line with the control value theory of achievement emotions.",Journal
26,Immersive 3D Experience of Osmosis Improves Learning Outcomes of First-Year Cell Biology Students,2021,3,,7,CBE-LIFE SCIENCES EDUCATION,"A Abstract biological processes that occur at the submicroscopic level, such as osmosis and diffusion, are inherently difficult for many students to conceptualize when traditional learning and teaching methods are used. This study introduced an immersive 320 degrees three-dimensional (3D) experience of osmosis in which students became engaged with the cellular environment in a Cave Automatic Virtual Environment. The aims of this study were: 1) to explore whether a textbook diagram of osmosis recreated as an immersive 3D learning experience would be a meaningful tutorial activity for first-year cell biology students at a regional Australian university; and 2) to gather preliminary evidence of the utility of the tutorial by examining student performance data. The experience was perceived by students to be fun, useful, and educational. Performance of all students improved on a multiple-choice exam question, with the percentage of students choosing the osmosis distractor answer decreasing from 26 to 15% (p < 0.001). Those students with moderate to high base-level knowledge also performed better on short-answer questions about the cell membrane and osmosis (10-14% better, depending on base-level knowledge, p < 0.001). We give recommendations for future studies to investigate using immersive visualization in science teaching.",Journal
